Date,Open,High,Low,Close,Volume
2019-07-09,199.0,220.0,133.0,134.0,166390700
2019-07-10,136.0,138.0,119.0,120.0,39675900
2019-07-11,120.0,137.0,114.0,129.0,66326500
2019-07-12,130.0,133.0,125.0,125.0,12796100
2019-07-15,126.0,129.0,122.0,124.0,7938900
2019-07-16,125.0,130.0,118.0,122.0,12432100
2019-07-17,122.0,125.0,117.0,117.0,5419800
2019-07-18,118.0,120.0,116.0,118.0,2643400
2019-07-19,118.0,123.0,117.0,118.0,7022700
2019-07-22,120.0,120.0,116.0,116.0,2064900
2019-07-23,116.0,118.0,112.0,113.0,5422100
2019-07-24,116.0,125.0,112.0,121.0,20945100
2019-07-25,123.0,142.0,121.0,130.0,71380900
2019-07-26,130.0,152.0,126.0,149.0,86549500
2019-07-29,150.0,169.0,145.0,150.0,75127300
2019-07-30,150.0,153.0,141.0,143.0,10482500
2019-07-31,144.0,160.0,143.0,148.0,16111400
2019-08-01,150.0,152.0,145.0,147.0,6169100
2019-08-02,147.0,149.0,141.0,146.0,3141500
2019-08-05,145.0,146.0,140.0,145.0,6093800
2019-08-06,141.0,144.0,130.0,141.0,6187900
2019-08-07,141.0,150.0,140.0,145.0,3989600
2019-08-08,146.0,158.0,146.0,158.0,12730900
2019-08-09,158.0,165.0,156.0,160.0,15261200
2019-08-12,160.0,170.0,160.0,165.0,13291700
2019-08-13,165.0,218.0,162.0,204.0,71481900
2019-08-14,206.0,236.0,199.0,210.0,65084900
2019-08-15,210.0,210.0,191.0,200.0,15942200
2019-08-16,202.0,214.0,196.0,198.0,12704400
2019-08-20,220.0,226.0,210.0,212.0,24237700
2019-08-21,210.0,214.0,198.0,200.0,14483400
2019-08-22,200.0,210.0,197.0,200.0,16423000
2019-08-23,202.0,202.0,193.0,196.0,5887200
2019-08-26,194.0,197.0,185.0,192.0,7208000
2019-08-27,193.0,212.0,193.0,204.0,31691000
2019-08-28,204.0,212.0,155.0,160.0,53896000
2019-08-29,163.0,174.0,157.0,160.0,17353900
2019-08-30,165.0,192.0,159.0,173.0,35192600
2019-09-02,180.0,181.0,168.0,169.0,9254800
2019-09-03,175.0,175.0,162.0,167.0,5002100
2019-09-04,162.0,186.0,157.0,170.0,20398200
2019-09-05,171.0,183.0,169.0,172.0,15185300
2019-09-06,174.0,198.0,172.0,187.0,71400800
2019-09-09,189.0,197.0,185.0,185.0,22480400
2019-09-10,185.0,186.0,171.0,173.0,16133900
2019-09-11,174.0,175.0,168.0,168.0,9252800
2019-09-12,168.0,168.0,144.0,145.0,43213400
2019-09-13,145.0,148.0,134.0,142.0,46638600
