Date,Open,High,Low,Close,Volume
2019-06-14,29225.0,29225.0,28950.0,29000.0,11444100
2019-06-17,29050.0,29200.0,28950.0,28975.0,16724800
2019-06-18,28975.0,29500.0,28975.0,29500.0,15757600
2019-06-19,29500.0,29800.0,29450.0,29700.0,13388900
2019-06-20,29500.0,29700.0,29025.0,29550.0,11900900
2019-06-21,29550.0,29675.0,29200.0,29400.0,28829800
2019-06-24,29475.0,29500.0,29325.0,29375.0,6016800
2019-06-25,29650.0,29800.0,29375.0,29550.0,8112300
2019-06-26,29700.0,29700.0,29300.0,29325.0,11866900
2019-06-27,29250.0,29675.0,29025.0,29675.0,15505000
2019-06-28,29900.0,29975.0,29800.0,29975.0,16183800
2019-07-01,29975.0,30125.0,29825.0,29950.0,11322500
2019-07-02,29950.0,30000.0,29750.0,30000.0,9712700
2019-07-03,29750.0,30000.0,29700.0,30000.0,8728000
2019-07-04,30000.0,30050.0,29825.0,29950.0,5644900
2019-07-05,30100.0,30100.0,29850.0,29850.0,6544500
2019-07-08,29675.0,29800.0,29325.0,29400.0,7672200
2019-07-09,29350.0,30000.0,29350.0,30000.0,9548100
2019-07-10,30000.0,30200.0,29975.0,30000.0,10436700
2019-07-11,30100.0,30125.0,29900.0,30125.0,6855900
2019-07-12,30000.0,30150.0,29975.0,30050.0,5967600
2019-07-15,30300.0,30575.0,30175.0,30525.0,12290700
2019-07-16,30400.0,30525.0,30350.0,30425.0,7615000
2019-07-17,30400.0,30750.0,30225.0,30750.0,9097400
2019-07-18,30500.0,30850.0,30275.0,30725.0,8725100
2019-07-19,30975.0,31050.0,30750.0,31000.0,8794700
2019-07-22,31300.0,31450.0,31000.0,31450.0,7462900
2019-07-23,31200.0,31450.0,31025.0,31175.0,7825900
2019-07-24,31300.0,31325.0,30825.0,31250.0,10268700
2019-07-25,31350.0,31375.0,31000.0,31250.0,10695500
2019-07-26,31250.0,31250.0,30950.0,30975.0,10359500
2019-07-29,31100.0,31150.0,30800.0,30950.0,13701900
2019-07-30,31025.0,31250.0,30950.0,31100.0,7645100
2019-07-31,30950.0,31200.0,30900.0,30950.0,12825800
2019-08-01,30950.0,31350.0,30925.0,31050.0,15645600
2019-08-02,30800.0,31025.0,30800.0,30825.0,12597900
2019-08-05,31075.0,31075.0,30000.0,30000.0,18184800
2019-08-06,29400.0,29775.0,28825.0,29400.0,36659200
2019-08-07,29875.0,30250.0,29525.0,30050.0,18420400
2019-08-08,30050.0,30400.0,29900.0,30025.0,11659100
2019-08-09,30275.0,30600.0,30275.0,30325.0,9623700
2019-08-12,30350.0,30400.0,30000.0,30200.0,10541000
2019-08-13,30000.0,30200.0,30000.0,30075.0,16881200
2019-08-14,30200.0,30300.0,29900.0,30050.0,16388400
2019-08-15,29600.0,30000.0,29300.0,30000.0,10512300
2019-08-16,30200.0,30200.0,29800.0,29800.0,9964300
2019-08-20,30175.0,30175.0,29925.0,29925.0,11678700
2019-08-21,30000.0,30025.0,29875.0,29875.0,11185500
2019-08-22,29625.0,30000.0,29600.0,30000.0,13177600
2019-08-23,29600.0,29975.0,29525.0,29975.0,6616700
2019-08-26,29700.0,30000.0,29300.0,29950.0,8277700
2019-08-27,30200.0,30200.0,29750.0,30025.0,24756000
2019-08-28,30000.0,30100.0,29925.0,29975.0,11137600
2019-08-29,29950.0,30125.0,29925.0,30025.0,10305100
2019-08-30,30400.0,30500.0,30025.0,30500.0,14730000
2019-09-02,30500.0,30500.0,30000.0,30000.0,8485800
2019-09-03,30000.0,30275.0,30000.0,30275.0,8548700
2019-09-04,30300.0,30300.0,30025.0,30100.0,8395800
2019-09-05,30425.0,30425.0,30075.0,30200.0,10730100
2019-09-06,30300.0,30300.0,30125.0,30125.0,10869800
2019-09-09,30250.0,30275.0,29900.0,30175.0,5182400
2019-09-10,30100.0,30275.0,29925.0,30275.0,8058200
2019-09-11,30250.0,30500.0,30050.0,30500.0,9048700
2019-09-12,30500.0,30525.0,30050.0,30100.0,8006800
2019-09-13,30400.0,30450.0,30050.0,30150.0,5683900
